name,rank,marketcap,country,share_price,change1d,change1y,categories
secure energy services,3891,1830000000.0,canada,5.0,2.59%,19.39%,energy oil-gas 
e2open,3887,1830000000.0,usa,6.0,1.00%,-28.76%,software tech 
syndax pharmaceuticals,3886,1830000000.0,usa,26.0,1.93%,49.09%,pharmaceuticals biotech 
redington india,3885,1830000000.0,india,2.0,2.61%,1.29%,
loma negra,3888,1830000000.0,,7.0,0.06%,24.92%,
zeta global,3881,1840000000.0,usa,8.0,3.06%,3.54%,advertising software tech 
goodman property trust,3883,1830000000.0,new-zealand,1.0,0.00%,-26.40%,reit real-estate investment 
braves group,3880,1840000000.0,usa,34.0,0.23%,30.46%,
pigeon,3884,1830000000.0,japan,15.0,-0.70%,-24.89%,
fibrogen,3882,1830000000.0,usa,19.0,-0.86%,36.40%,
dsme daewoo shipbuilding,4001,1680000000.0,south-korea,15.0,-1.77%,-20.49%,
paramount group,4199,1470000000.0,usa,6.0,0.73%,-34.05%,real-estate investment reit 
galaxy digital holdings,4101,1560000000.0,usa,4.0,4.20%,-75.48%,bitcoin financial-services 
methode electronics,4000,1680000000.0,usa,46.0,0.24%,-4.63%,electronics 
citizen watch,4401,1250000000.0,japan,4.0,1.88%,6.21%,
integral ad science,4200,1470000000.0,usa,9.0,2.36%,-44.42%,advertising 
monarch casino & resort,4196,1470000000.0,usa,77.0,-1.91%,13.20%,gambling entertainment 
embecta,4301,1350000000.0,usa,23.0,0.64%,,medical-devices 
cropenergies,4500,1160000000.0,germany,13.0,-0.96%,-11.45%,biofuel renewable-energy energy 
cassava sciences,4198,1470000000.0,usa,35.0,2.03%,-14.94%,diagnostics biotech 
graftech,4201,1460000000.0,usa,5.0,0.97%,-50.94%,
angi homeservices,4197,1470000000.0,usa,2.0,2.82%,-64.43%,
sfl corp,4295,1360000000.0,,9.0,1.13%,15.09%,transportation maritime-transportation container-shipping 
nevro,4299,1350000000.0,usa,38.0,1.20%,-58.32%,
calumet specialty products partners,4296,1360000000.0,usa,17.0,0.47%,11.41%,oil-gas chemicals 
trulieve cannabis,4298,1360000000.0,usa,7.0,1.24%,-71.18%,cannabis 
meridianlink,4400,1250000000.0,usa,15.0,0.00%,-9.38%,software tech financial-services 
pediatrix medical group,4300,1350000000.0,usa,16.0,0.65%,-39.19%,healthcare 
eckert & ziegler,4398,1250000000.0,germany,60.0,3.04%,-35.62%,
cdsl,4297,1360000000.0,india,13.0,-0.37%,-40.86%,financial-services 
dime community bancshares,4399,1250000000.0,usa,32.0,-1.45%,-14.40%,banks financial-services 
stewart information services,4397,1260000000.0,usa,46.0,1.15%,-40.16%,real-estate professional-services 
tejas networks,4601,1050000000.0,india,6.0,0.47%,6.15%,telecommunications-equipment networking-hardware tech-hardware 
mensch und maschine,4796,900000000.0,germany,53.0,0.10%,-20.71%,
imax corp,4799,900000000.0,canada,16.0,-0.03%,-13.35%,entertainment 
connectone bancorp,4701,980000000.0,usa,24.0,-1.23%,-32.40%,banks financial-services 
diagnosticos da america,4294,1360000000.0,brazil,2.0,5.51%,-55.47%,healthcare 
radware,4800,900000000.0,israel,20.0,0.45%,-42.82%,
saul centers,4293,1360000000.0,usa,41.0,0.23%,-21.31%,reit real-estate investment 
sana biotechnology,4794,900000000.0,usa,4.0,0.68%,-51.75%,pharmaceuticals biotech 
sri trang gloves,4791,900000000.0,thailand,0.0,-4.59%,-64.44%,glove-ppe 
cerence,4792,900000000.0,usa,22.0,4.08%,-67.36%,
indie semiconductor,4795,900000000.0,usa,7.0,0.42%,-17.16%,semiconductors tech tech-hardware lidar autonomous-driving 
centuryply,4291,1360000000.0,india,6.0,-1.33%,-29.76%,
city holding company,4292,1360000000.0,usa,92.0,-1.19%,8.33%,banks financial-services 
arco platform,4797,900000000.0,brazil,13.0,0.00%,-29.80%,education 
sterlite technologies,4798,900000000.0,india,2.0,2.59%,-37.81%,
international money express,4793,900000000.0,usa,24.0,2.03%,46.54%,financial-services 
stratec,4501,1160000000.0,germany,96.0,-0.78%,-28.98%,
albireo pharma,4788,910000000.0,usa,43.0,0.10%,61.92%,pharmaceuticals biotech 
arcutis biotherapeutics,4790,900000000.0,usa,14.0,1.70%,-14.30%,biotech pharmaceuticals 
knr constructions,4787,910000000.0,india,3.0,-1.84%,-23.17%,construction 
grid dynamics,4783,910000000.0,usa,12.0,0.00%,-60.80%,tech it-services professional-services 
asos,4780,910000000.0,united-kingdom,9.0,1.76%,-71.78%,e-commerce retail clothing 
geopark,4789,900000000.0,chile,15.0,2.71%,15.11%,oil-gas energy 
shentel,4785,910000000.0,usa,18.0,0.22%,-25.17%,
plymouth industrial reit,4784,910000000.0,usa,21.0,0.67%,-26.24%,real-estate investment reit 
rush street interactive,4801,900000000.0,usa,4.0,2.25%,-65.10%,entertainment gambling internet 
w&t offshore,4779,910000000.0,usa,6.0,3.22%,46.24%,oil-gas energy 
enerflex,4778,920000000.0,canada,7.0,2.97%,7.90%,oil-gas oil-gas-equipment-services energy 
ferroglobe,4777,920000000.0,united-kingdom,4.0,3.14%,-12.14%,
american woodmark,4786,910000000.0,usa,54.0,1.66%,-15.12%,
aersale,4782,910000000.0,usa,17.0,1.26%,13.66%,
singapore post,4781,910000000.0,singapore,0.0,1.89%,-16.33%,delivery-services transportation 
cimpress,4899,820000000.0,ireland,31.0,0.25%,-57.24%,internet e-commerce tech 
mirum pharmaceuticals,4901,820000000.0,usa,22.0,0.13%,19.32%,biotech pharmaceuticals 
ponsse,4891,820000000.0,finland,29.0,0.55%,-37.84%,machinery-manufacturing 
caleres,4893,820000000.0,usa,23.0,1.59%,0.50%,footwear 
nextdoor,4890,830000000.0,usa,2.0,2.98%,-63.79%,internet tech 
scansource,4894,820000000.0,usa,32.0,0.90%,-4.75%,
repay holdings,4898,820000000.0,usa,9.0,1.90%,-46.82%,financial-services tech 
interfor,4895,820000000.0,canada,16.0,3.76%,-53.19%,
hawkins,4900,820000000.0,usa,39.0,0.80%,-0.36%,chemicals 
softchoice,4897,820000000.0,canada,14.0,0.00%,-15.16%,it-services professional-services 
dah sing financial,4887,830000000.0,hong-kong,2.0,0.00%,-19.00%,banks financial-services 
ellington financial,4888,830000000.0,usa,13.0,0.77%,-22.34%,financial-services investment 
aktia bank,4892,820000000.0,finland,11.0,1.15%,-20.10%,banks financial-services 
sparc,4896,820000000.0,india,2.0,-1.08%,-40.97%,pharmaceuticals biotech 
varex imaging,4889,830000000.0,usa,20.0,0.48%,-28.75%,medical-devices medical-equipment 
anavex life sciences,4886,830000000.0,usa,10.0,2.10%,-19.21%,pharmaceuticals biotech genomics 
tcg bdc,4997,750000000.0,usa,14.0,-0.13%,4.60%,financial-services 
coherus biosciences,4995,760000000.0,usa,9.0,0.82%,-29.57%,pharmaceuticals biotech 
archer aviation,5000,750000000.0,usa,3.0,20.35%,-13.75%,aircraft-manufacturers manufacturing aerospace 
olvi plc,4991,760000000.0,finland,36.0,-1.31%,-35.42%,beverages alcoholic-beverages 
adma biologics,4989,760000000.0,usa,3.0,1.32%,147.50%,pharmaceuticals 
banco latinoamericano de comercio exterior,4998,750000000.0,,16.0,-0.53%,-1.79%,banks financial-services 
wallbox,4986,760000000.0,spain,4.0,4.13%,-65.24%,ev-charging electricity energy 
amc networks,4987,760000000.0,usa,17.0,1.65%,-57.65%,media-press 
alabama power,4990,760000000.0,usa,25.0,0.08%,-2.83%,energy electricity utility-companies 
idreamsky,4988,760000000.0,china,0.0,2.42%,-20.59%,video-games entertainment 
united fire group,4996,760000000.0,usa,30.0,-0.66%,18.98%,insurance 
finnair,4985,760000000.0,finland,0.0,3.58%,-25.68%,airlines travel transportation 
pubmatic,4992,760000000.0,usa,14.0,1.50%,-44.52%,advertising internet software tech 
livechat software,4993,760000000.0,poland,29.0,0.00%,1.41%,software tech 
jin air,4999,750000000.0,south-korea,14.0,3.13%,7.63%,airlines travel transportation 
norwegian air shuttle,4994,760000000.0,norway,0.0,2.61%,-38.81%,airlines travel transportation 
suncoke energy,4975,770000000.0,usa,9.0,1.04%,23.70%,
ambac,4984,760000000.0,usa,17.0,1.21%,3.98%,financial-services insurance 
bank first,4971,770000000.0,usa,86.0,0.79%,20.04%,banks financial-services 
theravance biopharma,4983,760000000.0,,11.0,-0.17%,15.59%,pharmaceuticals biotech 
istar,4982,760000000.0,usa,8.0,0.40%,-64.80%,real-estate investment reit 
wisdomtree investments,4974,770000000.0,usa,5.0,0.00%,-17.68%,financial-services investment asset-management 
qurate retail group,4980,770000000.0,usa,1.0,0.26%,-75.57%,retail 
vitru,4981,760000000.0,brazil,23.0,-1.33%,66.67%,education 
shenzhen zqgame,4972,770000000.0,china,2.0,2.85%,-46.95%,video-games entertainment 
amber enterprises india,4978,770000000.0,india,22.0,-0.47%,-51.16%,
badger infrastructure solutions,4976,770000000.0,canada,22.0,0.44%,-11.86%,
beml,4973,770000000.0,india,18.0,0.14%,-25.72%,mining 
the vita coco company,4977,770000000.0,usa,13.0,0.66%,33.40%,beverages 
aspen aerogels,4969,770000000.0,usa,11.0,3.03%,-69.31%,building-materials 
accel entertainment,4979,770000000.0,usa,8.0,0.34%,-28.08%,entertainment gambling 
multiplan,4970,770000000.0,usa,1.0,2.10%,-69.40%,healthcare 
zeal network,4964,770000000.0,germany,34.0,0.47%,-20.56%,
ies holdings,4959,780000000.0,usa,38.0,-0.59%,-24.11%,
pitney bowes,4966,770000000.0,usa,4.0,1.59%,-32.27%,transportation delivery-services 
altimmune,4963,770000000.0,usa,15.0,5.88%,102.04%,pharmaceuticals biotech 
magic software,4955,780000000.0,israel,15.0,-0.17%,-18.61%,
bioceres crop solutions,4967,770000000.0,,12.0,0.32%,-11.01%,agriculture 
ksb ltd,4957,780000000.0,india,22.0,0.18%,31.74%,
borosil,4958,780000000.0,india,6.0,0.14%,-30.08%,glassware 
exscientia,4960,780000000.0,united-kingdom,6.0,0.00%,-69.69%,pharmaceuticals biotech software tech 
bombay burmah,4953,780000000.0,india,11.0,-0.21%,-25.27%,financial-services 
kahoot,4954,780000000.0,norway,1.0,2.04%,-62.70%,education internet 
nerdwallet,4968,770000000.0,usa,10.0,0.87%,-21.66%,financial-services tech internet 
dragerwerk,4956,780000000.0,germany,39.0,0.14%,-31.74%,
ioneer,4965,770000000.0,australia,14.0,-0.67%,,mining 
via sa,4962,780000000.0,brazil,0.0,-1.18%,-30.00%,retail 
eventbrite,4961,780000000.0,usa,7.0,4.19%,-51.18%,internet 
amarin corporation,4951,790000000.0,ireland,1.0,-0.57%,-44.36%,pharmaceuticals biotech 
cellcom israel,4950,790000000.0,israel,4.0,-2.50%,-23.93%,telecommunication 
heritage commerce,4952,780000000.0,usa,13.0,-1.14%,2.44%,banks financial-services 
enfusion,4947,790000000.0,usa,11.0,1.14%,-30.69%,financial-services investment 
tokmanni,4940,790000000.0,finland,13.0,-1.18%,-37.21%,retail 
walkme,4945,790000000.0,israel,9.0,1.45%,-44.47%,software tech 
bicycle therapeutics,4937,800000000.0,united-kingdom,27.0,0.26%,-44.26%,pharmaceuticals biotech 
praj industries,4942,790000000.0,india,4.0,-0.65%,-24.22%,engineering 
peoples bancorp,4948,790000000.0,usa,28.0,-0.95%,-16.52%,banks financial-services 
ingersoll rand india,4944,790000000.0,india,25.0,0.90%,39.64%,
edenor,4946,790000000.0,,9.0,0.41%,84.80%,utility-companies energy electricity 
nextdecade corp,4938,800000000.0,usa,5.0,0.18%,111.03%,energy oil-gas 
stillfront group,4941,790000000.0,sweden,1.0,2.57%,-72.81%,video-games entertainment 
caredx,4949,790000000.0,usa,14.0,4.37%,-64.41%,
origin materials,4943,790000000.0,usa,5.0,1.64%,-3.29%,
pacific century regional developments,4939,800000000.0,singapore,0.0,-1.23%,-3.23%,investment asset-management 
ceat,4936,800000000.0,india,19.0,-1.37%,27.68%,tires 
rev group,4935,800000000.0,usa,13.0,0.52%,-4.82%,specialty-vehicles manufacturing 
associated capital group,4921,810000000.0,usa,37.0,0.00%,-19.21%,investment 
jbm auto,4933,800000000.0,india,6.0,1.13%,-66.40%,
summit hotel properties,4923,810000000.0,usa,7.0,0.60%,-24.85%,real-estate investment reit hotels travel 
movado,4932,800000000.0,usa,35.0,-0.28%,-9.34%,
network18,4928,800000000.0,india,0.0,-0.79%,-37.40%,media-press 
navios maritime partners,4925,810000000.0,,26.0,1.82%,6.46%,
vacasa,4930,800000000.0,usa,1.0,2.01%,-77.24%,tech internet travel online-travel 
standard motor products smp,4931,800000000.0,usa,37.0,0.13%,-28.05%,automotive-suppliers manufacturing 
prince pipes and fittings,4934,800000000.0,india,7.0,1.56%,-26.46%,
bioxcel therapeutics,4927,810000000.0,usa,28.0,2.05%,48.26%,pharmaceuticals biotech 
mercer international,4922,810000000.0,canada,12.0,0.49%,-1.60%,pulp-and-paper 
washington trust bancorp,4924,810000000.0,usa,47.0,-0.82%,-20.84%,banks financial-services 
laredo petroleum,4929,800000000.0,usa,48.0,1.14%,-35.98%,oil-gas energy 
team17,4926,810000000.0,united-kingdom,5.0,7.88%,-44.72%,video-games tech entertainment 
crossamerica partners,4918,810000000.0,usa,21.0,1.22%,0.19%,oil-gas energy retail 
zealand pharma,4920,810000000.0,denmark,17.0,0.00%,-17.73%,pharmaceuticals biotech 
converge technology solutions,4917,810000000.0,canada,3.0,1.17%,-49.28%,it-services professional-services 
azul,4916,810000000.0,brazil,7.0,6.90%,-50.80%,airlines travel transportation 
chipmos technologies,4907,820000000.0,taiwan,22.0,0.76%,-37.04%,semiconductors tech tech-hardware 
point biopharma,4913,810000000.0,usa,7.0,0.13%,41.58%,biotech pharmaceuticals 
indiabulls housing finance,4908,820000000.0,india,1.0,0.71%,-41.81%,financial-services 
simulations plus,4912,810000000.0,usa,40.0,1.29%,-15.25%,software tech 
yext,4910,810000000.0,usa,6.0,0.68%,-22.66%,software tech 
clairvest group,4909,810000000.0,canada,54.0,0.00%,0.79%,investment 
community trust bancorp,4911,810000000.0,usa,45.0,-1.51%,-0.65%,banks financial-services 
boston omaha,4919,810000000.0,usa,27.0,-1.46%,-2.23%,advertising 
lyell immunopharma,4915,810000000.0,usa,3.0,7.03%,-45.78%,pharmaceuticals biotech 
symphony limited,4905,820000000.0,india,11.0,0.21%,-18.77%,electronics manufacturing 
james river group,4914,810000000.0,,21.0,1.35%,-24.83%,insurance 
shinpoong pharm,4906,820000000.0,south-korea,16.0,-0.72%,-23.69%,pharmaceuticals 
quanex building products,4902,820000000.0,usa,24.0,0.06%,3.64%,
cellebrite,4885,830000000.0,israel,4.0,-1.24%,-32.49%,software tech 
aehr test systems,4883,830000000.0,usa,30.0,6.82%,126.98%,semiconductors tech 
cbl properties,4876,840000000.0,usa,26.0,1.34%,-12.96%,reit real-estate investment 
artis reit,4881,830000000.0,canada,7.0,-0.41%,-24.32%,real-estate investment reit 
quinstreet,4880,830000000.0,usa,15.0,-0.75%,-4.04%,advertising internet tech 
hangzhou electronic soul network technology,4877,840000000.0,china,3.0,1.33%,-27.54%,video-games entertainment internet 
avepoint,4884,830000000.0,usa,4.0,1.13%,-28.25%,software tech 
ranger oil,4874,840000000.0,usa,44.0,2.10%,38.10%,oil-gas energy 
cadre,4903,820000000.0,usa,22.0,1.03%,2.29%,financial-services investment 
deluxe,4878,830000000.0,usa,19.0,0.26%,-41.37%,financial-services 
smart global holdings,4879,830000000.0,usa,17.0,2.10%,-74.26%,semiconductors tech tech-hardware 
republic bank,4875,840000000.0,usa,42.0,-0.42%,-18.47%,banks financial-services 
forestar group,4873,840000000.0,usa,16.0,0.36%,-12.38%,real-estate 
dic asset,4882,830000000.0,germany,10.0,0.00%,-43.42%,real-estate investment 
bristow group,4904,820000000.0,usa,29.0,1.62%,-16.99%,aerospace 
hinduja global solutions,4863,850000000.0,india,16.0,-0.25%,-59.10%,
sligro food,4869,840000000.0,netherlands,19.0,0.69%,-23.35%,food retail supermarkets 
timkensteel,4861,850000000.0,usa,19.0,3.66%,19.71%,steel-producers steel-industry 
bigcommerce,4870,840000000.0,usa,11.0,4.19%,-63.22%,e-commerce internet tech 
sharecare,4866,840000000.0,usa,2.0,1.48%,-27.64%,healthcare 
shen zhen shengxunda technology gamexun,4868,840000000.0,china,5.0,1.90%,-25.60%,video-games entertainment 
qcr holdings,4871,840000000.0,usa,49.0,-0.78%,-19.20%,banks financial-services 
chalet hotels,4865,840000000.0,india,4.0,-0.83%,29.06%,hotels travel 
unitil corporation,4862,850000000.0,usa,53.0,0.50%,14.57%,utility-companies electricity oil-gas energy 
bangkok airways,4867,840000000.0,thailand,0.0,-1.49%,42.86%,airlines travel transportation 
office properties income trust,4858,850000000.0,usa,17.0,0.34%,-36.60%,reit real-estate investment 
nbcc india,4859,850000000.0,india,0.0,-0.13%,-32.39%,
7road,4857,860000000.0,china,0.0,0.00%,-6.06%,video-games entertainment 
first foundation,4860,850000000.0,usa,15.0,0.13%,-44.78%,banks financial-services 
slr investment,4872,840000000.0,usa,15.0,0.65%,-18.45%,investment financial-services asset-management 
brainchip,4864,840000000.0,australia,0.0,1.48%,-55.14%,tech software semiconductors tech-hardware 
rashtriya chemicals and fertilizers,4856,860000000.0,india,1.0,0.60%,38.05%,chemicals fertilizer 
mission produce,4852,860000000.0,usa,12.0,-0.49%,-11.62%,food 
cera sanitaryware,4855,860000000.0,india,66.0,0.54%,-1.68%,
cra international,4849,860000000.0,usa,121.0,-0.63%,37.57%,professional-services 
chase corporation,4847,870000000.0,usa,91.0,0.41%,-4.17%,chemicals 
heska corporation,4851,860000000.0,usa,80.0,1.32%,-47.60%,medical-devices diagnostics 
hibbett sports,4845,870000000.0,usa,68.0,0.85%,10.95%,footwear 
par technology,4853,860000000.0,usa,31.0,3.47%,-28.25%,software tech food 
docgo,4846,870000000.0,usa,8.0,2.16%,16.58%,healthcare 
bse,4841,870000000.0,india,6.0,-0.76%,-76.47%,stock-exchanges financial-services exchanges 
edelweiss financial services,4843,870000000.0,india,0.0,1.96%,-4.12%,financial-services 
newamsterdam pharma company,4848,860000000.0,netherlands,10.0,0.30%,3.06%,pharmaceuticals biotech 
dia distribuidora internacional de alimentacion,4842,870000000.0,spain,0.0,-0.71%,0.00%,supermarkets food retail 
perfect corp,4844,870000000.0,taiwan,7.0,-0.66%,,software tech cosmetics 
agenus,4854,860000000.0,usa,2.0,1.85%,-7.17%,biotech pharmaceuticals 
bain capital,4850,860000000.0,usa,13.0,0.37%,-14.60%,asset-management investment 
norway royal salmon,4837,870000000.0,norway,14.0,0.00%,-21.17%,food 
rci hospitality holdings,4839,870000000.0,usa,95.0,0.60%,12.10%,
vtex,4832,880000000.0,united-kingdom,4.0,1.77%,-39.18%,software tech e-commerce 
viewray,4838,870000000.0,usa,4.0,2.00%,1.57%,biotech medical-devices 
ionq,4836,880000000.0,usa,4.0,1.26%,-65.93%,tech tech-hardware software 
national healthcare,4826,880000000.0,usa,57.0,0.47%,-15.69%,healthcare 
graphite india,4827,880000000.0,india,4.0,-1.02%,-39.14%,
astec industries,4828,880000000.0,usa,39.0,1.09%,-45.18%,
heritage-crystal clean,4831,880000000.0,usa,36.0,1.25%,17.03%,waste-recycling 
steelcase,4840,870000000.0,usa,7.0,-0.06%,-39.68%,furniture manufacturing 
hypoport,4835,880000000.0,germany,139.0,0.94%,-71.97%,
synthomer,4833,880000000.0,united-kingdom,1.0,-1.73%,-65.32%,chemicals 
taboolacom,4830,880000000.0,usa,3.0,2.65%,-43.80%,advertising internet tech 
alpha & omega semiconductor,4825,880000000.0,usa,32.0,3.12%,-36.19%,semiconductors tech tech-hardware 
gopro,4829,880000000.0,usa,5.0,1.52%,-45.64%,electronics 
redwood trust,4834,880000000.0,usa,7.0,1.83%,-39.06%,real-estate investment reit 
ideaya biosciences,4819,890000000.0,usa,18.0,1.87%,4.21%,biotech pharmaceuticals 
winmark,4821,890000000.0,usa,259.0,1.99%,15.79%,retail 
cogent biosciences,4823,880000000.0,usa,12.0,0.51%,63.77%,pharmaceuticals biotech 
yellow cake plc,4818,890000000.0,,4.0,-0.45%,4.27%,uranium energy 
africa oil,4809,890000000.0,canada,1.0,2.77%,21.25%,oil-gas energy 
